input,reference,prediction_raw,prediction_clean,fold,chrf,bleu,geo,has_rep,pred_len,ref_len,len_ratio,ref_has_num,ref_words,input_len
translate Akkadian to English: ṭup-pu-um a-šu-mì zu-ba GÁN-lam,And when you entrust the tablet (declare) that the tablet has to go overland in the name of Zuba.,Tablet concerning Zuba.,Tablet concerning Zuba.,0,10.299653693245341,0.3549008366602817,1.9118984578276985,False,23,97,0.23711340206185566,False,19,62
translate Akkadian to English: ša-na-at sá-ah-ra-ku-ma a-na a-lim{ki} a-lá-kam,Because of this I am staying here now for a year and I could not go to the City.,I am delayed and I shall go to the City.,I am delayed and I shall go to the City.,0,26.204111914706957,19.843720818978895,22.803225235582868,False,40,80,0.5,False,19,78
translate Akkadian to English: <gap> wa-ar-kà-at <gap> a-na qá-té <gap>-an <gap> be <gap> šu-ma-bi4-a,"The man <gap> after <gap> to the hands of <gap> Šumi-abiya <gap> he must give to me <gap>""""",<gap> enter <gap> to the hands of <gap>,<gap> enter <gap> to the hands of <gap>,0,40.01406112703601,24.955786767600205,31.60035406751056,False,39,91,0.42857142857142855,False,18,101
translate Akkadian to English: KIŠIB pí-la-ah-IŠTAR DUMU i-bi4-sú-a KIŠIB šu-ma-li-bi4-a-šur DUMU ku-ús-ku-sí-im KIŠIB en-na-sú-in DUMU a-mur-{d}UTU KIŠIB a-al-DU10 DUMU a-mur-{d}UTU ša hu-bu-ul en-na-sú-in ù a-al-DU10 me-er-e a-mur-{d}UTU 3 ½ ma-na 5 GÍN KÙ.BABBAR ṣa-ru-pu-um,"Seal of Pilah-Ištar, son of Ibisua, seal of Šumma-libbi-Aššur, son of Kuskusum, seal of Ennam-Suen, son of Amur-Šamaš, seal of Āl-ṭāb, son of Amur-Šamaš, (to the effect) that the debtof Ennam-Suen andĀl-ṭāb, sons of Amur-Šamaš, is 3.5 minas 5 shekels of refined silver.","Sealed by Pilah-Ištar son of Ibi-Sua, by Šumma-libbi-Aššur son of Kuškusum, by Enna-Suen son of Amur-Šamaš, by Al-ṭāb son of Amur-Šamaš. Concerning the debt of Enna-Suen and Al-ṭāb, Amur-Šamaš's sons. 3 ½ minas 5 shekels of refined silver.","Sealed by Pilah-Ištar son of Ibi-Sua, by Šumma-libbi-Aššur son of Kuškusum, by Enna-Suen son of Amur-Šamaš, by Al-ṭāb son of Amur-Šamaš. Concerning the debt of Enna-Suen and Al-ṭāb, Amur-Šamaš's sons. 3 ½ minas 5 shekels of refined silver.",0,58.43453010886882,19.419478612301074,33.68631929536145,False,239,269,0.8884758364312267,True,43,277
translate Akkadian to English: a-šùr-i-mì-tí ù a-mur-IŠTAR a-na 1 ma-na-im 2 GÍN.TA i-na ITU.KAM ṣí-ib-tám ú-ṣú-bu KÙ.BABBAR,From the week of Aššur-imittī and Amur-Ištar they will add per 1 mina2 shekels per month as interest.For the silver they are jointly liable.,Aššur-imittī and Amur-Ištar will add interest at the rate 2 shekels per month per mina.,Aššur-imittī and Amur-Ištar will add interest at the rate 2 shekels per month per mina.,0,48.075328568769834,9.680319664534258,21.572773315529187,False,87,140,0.6214285714285714,True,24,124
translate Akkadian to English: ša sà-ra-tim li-mu-um ša,"Month II,eponymy of the one who took over from Sukkalliya.",Of the palaces. Eponymy Ša.BA.BA.,Of the palaces. Eponymy Ša.BA.BA.,0,14.865526459918934,3.715939007251811,7.432320609052511,False,33,58,0.5689655172413793,False,10,55
translate Akkadian to English: 1 ma-na 7 ½ GÍN KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er a-mur-IŠTAR DUMU da-da,"1 mina 7.5 shekels of refined silver Āmur-Ištar, son of Dada, owes to Elamma.",1 mina 7 ½ shekels of refined silver owed by Amur-Ištar son of Dada.,1 mina 7 ½ shekels of refined silver owed by Amur-Ištar son of Dada.,0,62.188978725920286,23.827376217791347,38.4941579035407,False,68,77,0.8831168831168831,True,14,99
translate Akkadian to English: {d}MAR.TU-ba-ni a-na 11 ha-am-ša-tim i-ša-qal šu-ma lá iš-qú-ul 1 ½ GÍN.TA,From the week of Ali-ahum and Amurrum-bāni he will pay in 11 weeks; if he does not pay he will add 1.5 shekel as interest per mina per month.,"Amurrum-bāni is to pay within 11 weeks. If he has not paid (in time), he must add interest at the rate 1 ½ shekel per mina.","Amurrum-bāni is to pay within 11 weeks. If he has not paid (in time), he must add interest at the rate 1 ½ shekel per mina.",0,39.22239342741372,4.720609461242691,13.60711584083976,False,123,141,0.8723404255319149,True,29,105
translate Akkadian to English: ša sà-ra-tim li-mu-um ša qá-té DINGIR-šu-GAL DUMU ba-zi-a,"Month II, eponymy of the successor of Ilšu-rabi, son of Baziya.","Of the packers, eponymy after that of Ilšu-rabi son of Baziya.","Of the packers, eponymy after that of Ilšu-rabi son of Baziya.",0,51.86152894920216,24.918622945587302,35.94882314161104,False,62,63,0.9841269841269841,False,11,88
translate Akkadian to English: DUMU šu-lá-ba-an IGI e-me-me-i DUMU a-zu-ta-a,"In the presence of Imdī-ilum, son of Šu-Labān, of Ememe'i, son of Azutaya.",Son of Šu-Laban. Witnessed by Emmeme son of Azutaya.,Son of Šu-Laban. Witnessed by Emmeme son of Azutaya.,0,38.95906394258829,14.378418466065586,23.667904943461757,False,52,74,0.7027027027027027,False,13,76
translate Akkadian to English: KIŠIB kà-ri-im kà-ni-iš ṣa-he-er GAL,Seal of the Kanesh colony in plenary session.,Seal of the plenary assembly of the Kanesh colony.,Seal of the plenary assembly of the Kanesh colony.,0,66.0871394045163,35.930411196308434,48.72923243384846,False,50,45,1.1111111111111112,False,8,67
translate Akkadian to English: kà-ru-um kà-ni-iš ṣa-he-er GAL dí-nam i-di-in-ma <gap> ma-na KÙ.BABBAR be-ú-lá-at zi-ki-im a-na,"The Kanesh colony in plenary session passed the following verdict: <gap> mina of silver, the working capital of Zikum to Aššur-idī Ir'am-Aššur shall pay.""""","The plenary assembly of the Kanesh colony passed a verdict: <gap> mina of silver, the working capital of Zikum, to <gap>","The plenary assembly of the Kanesh colony passed a verdict: <gap> mina of silver, the working capital of Zikum, to <gap>",0,57.95439266842912,47.625546886364596,52.536745667209495,False,120,155,0.7741935483870968,False,24,126
translate Akkadian to English: ½ ma-na KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er šu-mì-a-bi4-a e-lá-ma i-šu,0.5 mina of refined silver Šumi-abiya owes to Elamma.,Šumi-abiya owes ½ mina of refined silver to Elama.,Šumi-abiya owes ½ mina of refined silver to Elama.,0,76.71640402365004,33.568919250372375,50.747283393782276,False,50,53,0.9433962264150944,True,9,95
translate Akkadian to English: iš-tù ha-muš-tim ša DINGIR-na-da 1,From the week of Ilī-nādā he will add 1 shekel of silver as interest per month.,Reckoned from the week of Ilī-nādā <gap>,Reckoned from the week of Ilī-nādā <gap>,0,34.347732137960236,12.270657218905255,20.529716201440433,False,40,79,0.5063291139240507,True,16,65
translate Akkadian to English: li-mu-um PUZUR4-{d}MUŠ,"Month I, eponymy of Puzur-Nirah.",The eponymy of Puzur-Adad.,The eponymy of Puzur-Adad.,0,52.63426346851801,15.84873897212071,28.88229046842322,False,26,32,0.8125,False,5,53
translate Akkadian to English: IGI en-um-a-šur DUMU PUZUR4-a-šur,"In the presence of Adad-pilah, of Ennam-Aššur, son of Puzur-Aššur.",Witnessed by Ennam-Aššur son of Puzur-Aššur.,Witnessed by Ennam-Aššur son of Puzur-Aššur.,0,47.834331452895086,18.448373350246094,29.70632265364443,False,44,66,0.6666666666666666,False,10,64
translate Akkadian to English: 22 šu-ru-tum 11 ma-na 10 GÍN AN.NA 12 GÍN KÙ.BABBAR ší-im ½ ku-ta-nim 2 ½ ma-na KÙ.BABBAR ší-im 5 ANŠE.HI.A i,"22 dark textiles, 11 minas 10 shekels of tin 12 shekels of silver the price of 0.5 -textile, (and) 2.5 minas of silver, the price of 5 donkeys, are due by Ali-ahum.","22 bundles, 11 minas 10 shekels of tin, 12 shekels of silver, the price of ½ kutānu, 2 ½ minas of silver, the price of 5 donkeys","22 bundles, 11 minas 10 shekels of tin, 12 shekels of silver, the price of ½ kutānu, 2 ½ minas of silver, the price of 5 donkeys",0,61.31149100172954,44.54439596740227,52.25976781935471,False,128,164,0.7804878048780488,True,32,140
translate Akkadian to English: a-na 2 ANŠE.HI.A ša e-lá-ma ù lá-qé-ep a-lá-hu-um ù hi-na-a,"Concerning 2 donkeys belonging to Elamma and Lā-qēp, Ali-ahum and hinnaya will establish who of them is liable and from him who proves to be it Elamma and Lā-qēp will take 0.5 mina of silver per (donkey).",To two donkeys belonging to Elamma and Lā-qēp; Ali-ahum and hinnaya.,To two donkeys belonging to Elamma and Lā-qēp; Ali-ahum and hinnaya.,0,32.60371707698928,5.7711784648201006,13.717210717482176,False,68,204,0.3333333333333333,True,37,90
translate Akkadian to English: IGI e-dí-na-a IGI,"In the presence of Edināya, of Ennam-Aššur.","Witnessed by Eddinaya, by Ali-ahum.","Witnessed by Eddinaya, by Ali-ahum.",0,13.663071430455734,5.8689248188165335,8.954749522988612,False,35,43,0.813953488372093,False,7,48
translate Akkadian to English: mì-šu ša a-dí KÙ.BABBAR ta-áš-ta-na-pá-ra-ni,"Thus Šu-Kūbum, say to Aššur-ṭāb: Why do you keep writing me about the silver?",Why is it that you have been brought out the silver before you keep sending me word?,Why is it that you have been brought out the silver before you keep sending me word?,0,33.76212425159841,6.986768364373988,15.358650384559562,False,84,77,1.0909090909090908,False,14,75
translate Akkadian to English: a-šur-ma-lik ù kur-ub-IŠTAR ú-ga-me-ru-ma 3 ma-na KÙ.BABBAR i-nu-mì-šu-ma a-na kur-ub-IŠTAR áš-qúl,Aššur-mālik and Kurub-Ištar have settled my case and at that time I immediately paid 3 minas of silver to Kurub-Ištar.,Aššur-malik and Kurub-Ištar confronted and 3 minas of silver when I paid to Kurub-Ištar.,Aššur-malik and Kurub-Ištar confronted and 3 minas of silver when I paid to Kurub-Ištar.,0,51.40238071789739,19.101156890802756,31.334405031104904,False,88,118,0.7457627118644068,True,20,129
translate Akkadian to English: ší-tí KÙ.BABBAR a-na kur-ub-IŠTAR áš-qúl,The rest of the silver I have now paid to Kurub-Ištar.,I paid the rest of silver to Kurub-Ištar.,I paid the rest of silver to Kurub-Ištar.,0,58.80809934133089,18.521372576819843,33.00313194888363,False,41,54,0.7592592592592593,False,11,71
translate Akkadian to English: ú a-dí ma-lá ú ší-ni-šu té-er-tí i-li-kà-kum a-na KÙ.BABBAR mì-ma lá ta-áš-ta-na-pá-ra-am a-bu-ša-lim mì-ma lá il5-qé a-wa-tù-a,"Moreover, I have written to you several times: 'By all means stop writing me about the silver!' Abu-šalim has taken nothing (of it), Abu-šalim actually witnessed that my affair was settled!""""","Also, once or twice my message came to you. Do not worry about silver. Abu-šalim has not received any silver. My case.","Also, once or twice my message came to you. Do not worry about silver. Abu-šalim has not received any silver. My case.",0,21.431718718644532,2.7793655932663848,7.7179389483957275,False,118,191,0.6178010471204188,False,31,158
translate Akkadian to English: ma-na 7 GÍN KÙ.BABBAR ku-nu-ki ša en-um-a-šur DUMU e-lá-ma šu-sú-in DUMU ì-lí-a a-na lá-ma-sí-tim ù ir-ma-a-šur ip-qí-id-ma KÙ.BABBAR ir-ma-a-šur a-na a-lim{ki},"2 minas 57 shekels of silver under the seals of Ennam-Aššur, son of Elamma, Šu-Suen, son of Iliya, entrusted to Lamassutum and Ir'am-Aššur and Ir'am-Aššur will bring the silver to the city of Assur.","Šu-Suen son of Iliya entrusted 1 mina 7 shekels of silver sealed by Ennam-Aššur son of Elamma to Lamassītum and Irma-Aššur, and Irma-Aššur will pay the silver to the City.","Šu-Suen son of Iliya entrusted 1 mina 7 shekels of silver sealed by Ennam-Aššur son of Elamma to Lamassītum and Irma-Aššur, and Irma-Aššur will pay the silver to the City.",0,57.87940987434722,14.787649542786056,29.255775993214012,False,171,198,0.8636363636363636,True,34,191
translate Akkadian to English: a-na hu-bu-ul en-um-a-šur a-na DAM.GÀR i-ša-qal,He will pay it for the debt of Ennam-Aššur to the creditor.,For Ennam-Aššur's debt he will pay to the merchant.,For Ennam-Aššur's debt he will pay to the merchant.,0,44.609665963388736,9.730313569392523,20.83425155962242,False,51,59,0.864406779661017,False,12,78
translate Akkadian to English: KÙ.BABBAR a šu-mì en-um-a-šur GÁN-lam,The silver will travel overland in the name of Ennam-Aššur.,The silver on behalf of Ennam-Aššur.,The silver on behalf of Ennam-Aššur.,0,43.11405381874786,17.359100558362854,27.357287799018238,False,36,59,0.6101694915254238,False,10,68
translate Akkadian to English: DUMU e-lá-ma IGI a-šur-ba-ni DUMU du-mu-uq-IŠTAR,"Witnessed by Pilah-Ištar, son of Elamma, and by Aššur-bāni, son of Dumuq-Ištar.",Son of Elamma. Witnessed by Aššur-bāni son of Dumuq-Ištar.,Son of Elamma. Witnessed by Aššur-bāni son of Dumuq-Ištar.,0,64.41300583476546,21.69042495860765,37.37840913438314,False,58,79,0.7341772151898734,False,12,79
translate Akkadian to English: <gap> GÍN KÙ.BABBAR it-bu-lu <gap> 1 GÍN it-ba-al <gap> 2 GÍN it-ba-al-bu-lu <gap> 4 GÍN <gap> it-bu-lu <gap> GÍN,<gap> cost <gap> shekels of silver; a <gap> cost 1 shekel; a / the <gap> cost 2 shekels; <gap> 4 shekels <gap> cost; <gap> cost <gap> shekels for <gap> shekels; 15 grain for onions; 1 sheep cost 1 shekel.,<gap> shekels of silver cost <gap> 1 shekel cost <gap>,<gap> shekels of silver cost <gap> 1 shekel cost <gap>,0,25.070492009182804,3.223934441511362,8.99030715015009,False,54,204,0.2647058823529412,True,39,144
translate Akkadian to English: mì-ma a-nim i ha-mu-uš-tim,All this was consumed / paid during / from the .,All this in the week-eponymy.,All this in the week-eponymy.,0,21.532318335400724,8.389861810900507,13.440728228125561,False,29,48,0.6041666666666666,False,11,57
translate Akkadian to English: um-ma a-lá-hu-um da-dí-a ù da-<gap>-ma a-na e-lá-ma ù kur-ub-IŠTAR qí-bi4-ma 17 ma-na KÙ.BABBAR,"Thus Ali-ahum, Dadiya, <and> Da<gap>, say to Elamma and Kurub-Ištar: 17 minas of silver Šalim-Aššur brought us, without its excise having been added.","From Ali-ahum, Dādiya and Da<gap> to Elamma and Kurub-Ištar: 17 minas of silver <gap>","From Ali-ahum, Dādiya and Da<gap> to Elamma and Kurub-Ištar: 17 minas of silver <gap>",0,45.259473110012046,29.873132217305425,36.7701267920165,False,85,149,0.5704697986577181,True,23,126
translate Akkadian to English: ŠÀ.BA ⅔ ma-na a-na ni-is-ha-tim ni-dí-in 3 GÍN i ma-sà-im im-ṭí ší-tí KÙ.BABBAR-pì-ku-nu 16 ma-na 10 ⅓ GÍN,"Thereof we gave 0.6666 mina as excise (and) it became 3 shekels less due to purifying, (so that) the rest of your silver is 16 minas 10.3333 shekels.",Thereof we gave ⅔ mina for the import duty.,Thereof we gave ⅔ mina for the import duty.,0,15.22290042279075,1.6850912439135297,5.064778001987082,False,43,149,0.28859060402684567,True,28,137
translate Akkadian to English: ŠÀ 1 me-at 26 ku-ta-nu 11 ½ ma-na 3 GÍN KÙ.BABBAR it-bu-lu 4 ANŠE.HI.A 1 ⅓ ma-na LÁ 2 GÍN it-bu-lu 7 ½ GÍN ½ ANŠE ⅚ ma-na 4 GÍN be-ú-lá-at 2 kà-ṣa-re qá-dum lu-bu-ší-šu-nu,"Thereof: 126 -textiles cost 11.5 minas 3 shekels of silver 4 donkeys cost 78 shekels (of silver), 7.5 shekels (of silver) for half a donkey, 54 shekels of silver the working capitals of 2 harnessers, including their clothing allowance.","Thereof 126 kutānus cost 11 ½ minas 3 shekels of silver; 4 donkeys cost 1 ⅓ mina less 2 shekels; 7 ½ shekels ½ donkey, ⅚ mina 4 shekels: the working capital of 2 harnessors and their clothes.","Thereof 126 kutānus cost 11 ½ minas 3 shekels of silver; 4 donkeys cost 1 ⅓ mina less 2 shekels; 7 ½ shekels ½ donkey, ⅚ mina 4 shekels: the working capital of 2 harnessors and their clothes.",0,49.538138890884994,13.689113559552442,26.040990933645478,False,191,235,0.8127659574468085,True,39,202
translate Akkadian to English: 20 ma-na AN.NA 13 GÍN.TA 1 ½ ma-na 2 GÍN KÙ.BABBAR 10 <gap> GÍN ú-nu-ut ANŠE <gap>-1+¼ GÍN té-ṣú-bu 2 GÍN ša,"20 minas of tin at a rate of 13 shekels per (1 shekel of silver) (cost) 92 shekels of silver, 10-<gap> shekels the harness of the donkeys, <gap>+ 1 1 / 4 shekel additions, 2 shekels for <gap> 8 1 / 4 shekels the export tax.","20 minas of tin at the rate 13:1, 1 ½ mina 2 shekels of silver, 10 <gap> shekels: the harness for a donkey.","20 minas of tin at the rate 13:1, 1 ½ mina 2 shekels of silver, 10 <gap> shekels: the harness for a donkey.",0,34.9525689356242,13.029580911868129,21.340509015118734,False,107,223,0.4798206278026906,True,46,139
translate Akkadian to English: a-šur-mu-ta-pì-il5,"Aššur-mūtappil is leading this to you.""""",Aššur-muttappīl.,Aššur-muttappīl.,0,23.049155457569963,0.0,0.0,False,16,40,0.4,False,6,49
translate Akkadian to English: DUMU zu-zu-ú KIŠIB lá-ba-na-da DUMU i-dí-sú-en6 KIŠIB a-šùr-DU10 DUMU,"Seal of Šumi-abiya, son of Zuzū,seal of Labān-nādā, son of Iddin-Suen, seal of Aššur-ṭāb, son of Ennamānum.","Sealed by Laban-nādā son of Iddin-Suen, by Aššur-ṭāb son of Ahu-waqar.","Sealed by Laban-nādā son of Iddin-Suen, by Aššur-ṭāb son of Ahu-waqar.",0,36.78029139165027,10.60317004665811,19.74810583299835,False,70,107,0.6542056074766355,False,17,100
translate Akkadian to English: 1 GÚ AN.NA ku-nu-ki ša a-lim{ki} i-ṣé-er a-šur-DU10 a-hu-qar i-šu i-tù-a-ar DINGIR-šu-GAL ṣú-ha-ri-im ša a-šur-DU10 iš-tù a-lim{ki} i-na ri-i-iš AN.NA 5 GÚ URUDU SIG5 ma-sí-am ša-bu-ra-am a-na a-šur-DU10 a-hu-qar i-ša-qal 1 GÚ AN.NA-ak-šu a-hu-qar i-lá-qé,"1 talent of tin with seals of the city, Aššur-ṭāb owes to Ahu-waqar.When Ilšu-rabi, the servant of Aššur-ṭab, returns fromthe city, immediately when (he receives) the tin, 5 talents of refined copper of good quality, in pieces, Ahu-waqar will pay to Aššur-ṭāb (and) Ahu-waqar will get his 1 talent of tin.","Aššur-ṭāb owes 1 talent of tin under the seal of the City to Ahu-waqar. Ilšu-rabi, the servant of Aššur-ṭāb, will pay 5 talents of good copper from the City to Aššur-ṭāb. Ahu-waqar will receive 1 talent of tin from the City.","Aššur-ṭāb owes 1 talent of tin under the seal of the City to Ahu-waqar. Ilšu-rabi, the servant of Aššur-ṭāb, will pay 5 talents of good copper from the City to Aššur-ṭāb. Ahu-waqar will receive 1 talent of tin from the City.",0,52.987538653134834,18.6036208832559,31.39681640930794,False,224,305,0.7344262295081967,True,51,286
