doc_idx,oare_id,sent_idx,n_sents,akk_bytes,is_long,eng_sent,akk_pred,match_start_tok,match_end_tok,match_score,matched_segment
1,3327f53e-3d10-42fd-88fe-45aa99e4a6f9,5,8,937,True,Produce the tablet concerning 4 shekels of silver and send it to me.,ṭup-pá-am ša 4 GÍN KÙ.BABBAR šé-ṣí-a-ma šé-bi₄-lam,96,101,86.44637638804949,ṭup-pá-am ša 4 GÍN KÙ.BABBAR
1,3327f53e-3d10-42fd-88fe-45aa99e4a6f9,6,8,937,True,"My dear brother, apart from you I have no elder brother.",a-ḫi a-ta a-lá-kam ku-a-tí a-ḫa-am ša-li-iš ú-lá i-šu,105,112,55.79674750746575,a-ḫi a-ta a-lá-nu-kà a-ḫa-am ra-bi-am ú-lá i-šu
1,3327f53e-3d10-42fd-88fe-45aa99e4a6f9,7,8,937,True,Pay attention to the words of the tablet.,a-na a-wa-at ṭup-pí-im iḫ-da,112,114,75.77067566761191,a-na a-wa-at
2,351dea4e-b572-4f00-86dd-88f71c254fd8,0,10,709,True,To Adida and Ali-ahum from Damiq-pī-Aššur: I left 6 sacks with textiles under my seal in the store-room.,a-na a-dí-da ù a-lá-ḫi-im qí-bi-ma um-ma SIG₅-pí-a-šur-ma 6 na-ru-qá-tim ša TÚG.ḪI.A ku-nu-ki-a i-na ḫu-ur-ší-im e-zi-ib,3,14,86.57226002759857,a-lá-ḫi-im qí-bi-ma um-ma SIG₅-pì-a-šur-ma 6 na-ru-qá-tim TÚG.ḪI.A ku-nu-ki-a i-na ḫu-ur-ší-im e-zi-ib
2,351dea4e-b572-4f00-86dd-88f71c254fd8,1,10,709,True,"Among those (were) 12 textiles of good quality, 8 second quality textiles, 4 textiles belonging to Ušmaya.",i-na ša 12 TÚG SIG₅ 8 TÚG tár-dí-ú-tum 4 TÚG ša uš-ma-a,17,25,50.899790522049685,SIG₅ 8 TÚG.ḪI.A tár-dí-ú-tim 4 TÚG.ḪI.A ša uš-ma-a
2,351dea4e-b572-4f00-86dd-88f71c254fd8,2,10,709,True,Place my textiles where they will be under guard.,TÚG.ḪI-tí a-šar ša-ṣú-ru šu-uk-na,26,29,91.42224788821089,a-šar ša-ṣú-ru šu-uk-na
2,351dea4e-b572-4f00-86dd-88f71c254fd8,3,10,709,True,"I left the price of a textile, 0.3333 mina 1 shekel of silver (and) 21 minas 10 shekels of with you.",0.3333 ma-na 1 GÍN KÙ.BABBAR 21 ma-na 10 GÍN KÙ.BABBAR e-zi-ba-kum,29,34,77.49042284481553,0.3333 ma-na 1 GÍN KÙ.BABBAR
2,351dea4e-b572-4f00-86dd-88f71c254fd8,4,10,709,True,"Sell my copper for silver, then seal the proceeds in silver from my textiles and let it remain.",URUDU-a a-na KÙ.BABBAR dí-na-ma ší-im KÙ.BABBAR ša TÚG.ḪI-tí-a ku-un-kà-ma li-ib-ší,43,52,72.42224415670955,a-na KÙ.BABBAR dí-na-ma ú KÙ.BABBAR ší-im ṣú-ba-tí-a ku-un-kà-ma li-ib-ší
2,351dea4e-b572-4f00-86dd-88f71c254fd8,5,10,709,True,"Do not consider the silver for your own needs, let it remain (intact).",KÙ.BABBAR a-na ra-mì-ni-kà lá ta-mu-ú li-ib-ší,51,54,68.06203485438654,li-ib-ší KÙ.BABBAR a-na
2,351dea4e-b572-4f00-86dd-88f71c254fd8,6,10,709,True,"My dear brothers, as to the silver for my textiles, they should be sold for cash on delivery.",a-ḫu-ú-a a-tù-nu KÙ.BABBAR ša TÚG.ḪI-tí-a a-na ša-du-i-šu li-dí-nu,58,63,58.541221394394384,a-ḫu-a a-tù-nu KÙ.BABBAR ṣú-ba-tí-a a-na
2,351dea4e-b572-4f00-86dd-88f71c254fd8,7,10,709,True,I shall not have any outstanding claims.,mì-ma ba-a-ba-tí lá a-qá-bi₄,24,26,24.68747967092067,uš-ma-a ṣú-ba-tí-a
2,351dea4e-b572-4f00-86dd-88f71c254fd8,8,10,709,True,Šalim-bēlī son of Bašu owes me 14 shekels of silver.,14 GÍN KÙ.BABBAR ša-lim-be-lí DUMU ba-šu ḫa-bu-lam,68,74,95.19218151069263,14 GÍN KÙ.BABBAR ša-lim-be-lí DUMU ba-šu
2,351dea4e-b572-4f00-86dd-88f71c254fd8,9,10,709,True,in <gap>,i-na <gap> a-na <gap>,75,77,28.3409525087571,i-na ba-ni-<gap>-im
3,21ae4700-fc2d-4e62-8580-bc08efc8a6ae,0,7,469,False,"15 shekels of refined -silver Walhišna, Peruwa and Tuwatuwi, his wife, owe to Lamassutum.",15 GÍN KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er wa-al-ḫi-iš-na pé-ru-wa ù tù-wa-tù-ú-i a-ší-tí-šu lá-ma-sà-tum tí-šu i-šu,5,13,91.10695889604652,i-ṣé-er wa-al-ḫi-iš-na pé-ru-wa ù tù-wa-tù-ú-i a-ší-tí-šu lá-ma-sà-tum tí-šu
3,21ae4700-fc2d-4e62-8580-bc08efc8a6ae,1,7,469,False,Reckoned from the week of Innāya not later than the festival of Parka they will pay.,iš-tù ḫa-mu-uš-tim ša i-na-a a-na ša pá-ar-kà i-ša-qú-lu,13,21,100.0,iš-tù ḫa-mu-uš-tim ša i-na-a a-na ša pá-ar-kà i-ša-qú-lu
3,21ae4700-fc2d-4e62-8580-bc08efc8a6ae,2,7,469,False,If they do not pay they will add interest at a rate of 1.5 shekel.,šu-ma lá iš-qú-lu 1.5 GÍN.TA ṣí-ib-tám ú-ṣú-bu,21,28,100.0,šu-ma lá iš-qú-lu 1.5 GÍN.TA ṣí-ib-tám ú-ṣú-bu
3,21ae4700-fc2d-4e62-8580-bc08efc8a6ae,3,7,469,False,"Month XII, eponymy of Aššur-imittī.",ITU.KAM ku-zal-li li-mu-um a-šur-i-mì-tí,30,32,83.63582184118034,li-mu-um a-šur-i-mì-tí
3,21ae4700-fc2d-4e62-8580-bc08efc8a6ae,4,7,469,False,They are jointly liable for the silver.,a-na KÙ.BABBAR i-ra-de₈-ú,2,3,69.71804617236347,KÙ.BABBAR
3,21ae4700-fc2d-4e62-8580-bc08efc8a6ae,5,7,469,False,"Should they not pay when their term is due, then I will take away Tuwatuwi.",šu-ma i-na u₄-me-šu-nu lá iš-qú-lu tù-wa-tù-ú-i ú-šé-ṣí IGI a-šur-ma-lik DUMU šu-ku-bi-im,37,43,64.240464454322,šu-ma i-na u₄-me-šu-nu lá iš-ta-aq-lu tù-wa-tù-wi
3,21ae4700-fc2d-4e62-8580-bc08efc8a6ae,6,7,469,False,"In the presence of Šarnigāšu, and of Ennam-Aššur.",IGI ša-ar-ni-ga-a-šu IGI en-um-a-šur,45,48,90.49777960146454,IGI ša-ar-ni-ga-a-šu IGI
4,749350ec-f99b-4e90-a83b-e2084ad90cce,0,8,560,True,"Say to Nab-Suen, Ennam-Aššur, Suen-rē'ī, and Aššuriš-tikal, thus Išme-Aššur: I wrote you as follows: 'The wife of hali-abum is dead.",a-na na-áb-sú-in en-um-a-šur ZU-re-i ù a-šur-iš-tí-kál qí-bi-ma um-ma iš-ma-a-šur-ma áš-pu-ra-kum um-ma a-na-ku-ma DAM ḫa-lá-bi-im me-et,0,13,78.88650243282162,a-na na-áb-sú-in en-um-a-šur ZU-re-i ú a-šur-iš-tí-kál qí-bi₄-ma um-ma iš-ma-a-šur-ma áš-pu-ra-ku-nu-tí um-ma a-na-ku-ma DAM
4,749350ec-f99b-4e90-a83b-e2084ad90cce,1,8,560,True,Collect everything she left behind and bring it into one single storeroom and seal it in my name'.,mì-ma té-zi-bu pá-ḫi-ra-ma a-na ḫu-ur-ší-im iš-tí-in šé-ri-a-ma ku-un-kà-šu,15,20,86.76277823766961,mì-ma té-zi-bu pá-ḫi-ra-ma a-na ḫu-ur-ší-im
4,749350ec-f99b-4e90-a83b-e2084ad90cce,2,8,560,True,I hear by rumor that somebody intends to marry the maid.,a-ša-me-ma ma-ma-an a-na e-ḫu-zu i-ḫi-id,25,27,42.93764048478805,áš-ta-na-me-ma ma-ma-na
4,749350ec-f99b-4e90-a83b-e2084ad90cce,3,8,560,True,"Make inquiries and whether it is an Assyrian or an Anatolian, set witnesses against him.",ší-ma-am ša-ma-ma lu DUMU a-šur lu nu-a-um ší-bi šu-uk-na-šu-um,32,39,78.01333527412174,lu DUMU a-šur lu nu-a-um ší-be-e šu-uk-na-šu-um
4,749350ec-f99b-4e90-a83b-e2084ad90cce,4,8,560,True,He shall not marry her!,lá i-ḫa-ša-aṣ,39,40,62.81407035175879,lá
4,749350ec-f99b-4e90-a83b-e2084ad90cce,5,8,560,True,"Seize everything she left behind, also outstanding claims.",mì-ma té-zi-bu ù ba-a-ba-tí ṣa-ba-at,15,17,72.61727642717089,mì-ma té-zi-bu
4,749350ec-f99b-4e90-a83b-e2084ad90cce,6,8,560,True,"Please, my brothers, take care, (for) the man may take along a lot of silver.",a-ḫu-ú-a a-tù-nu iḫ-da-ma KÙ.BABBAR ma-dam a-we-lam li-tù-ra-am,46,53,56.87571122555185,a-ḫu-ú-a a-tù-nu i-iḫ-da <gap> a-wi-lum KÙ.BABBAR ma-dam
4,749350ec-f99b-4e90-a83b-e2084ad90cce,7,8,560,True,"Make me obtain my assets!""""",bu-lá-tí ša-áš-qí-lá,54,55,53.378085535901064,bu-lá-tí-a
5,71112263-5009-4065-b5ff-d4ec32dd83bb,0,6,514,True,"Say to Elamma, thus Aššur-rē'ī: The 2 Šulupkaean textiles I sent you Aššur-mūtappil had taken for 30 minas of refined copper before I arrived.",a-na e-lá-ma qí-bi-ma um-ma a-šur-SIPA-ma 2 šu-lu-up-kà-ú ša ú-šé-bi-lá-ni a-šur-mu-ta-pì-il₅ a-lá-ak a-lá-kà-ni il₅-qé,0,10,79.15127358479052,a-na e-lá-ma qí-bi-ma um-ma a-šùr-SIPA-ma 2 šu-lu-up-kà-ú ša ú-šé-bi-lá-ni a-šùr-mu-ta-pí-il₅
5,71112263-5009-4065-b5ff-d4ec32dd83bb,1,6,514,True,"Afterwards he said: 'Take your textiles!' As for 1 <gap> textile, instead of it they asked for another one.",i-na wa-ar-ki-tim um-ma šu-ut-ma ṣú-ba-tí-kà le-qé 1 TÚG <gap> ku-nu-ki-šu ki-ma šu-a-tí er-šu-um,18,24,55.270455725954825,um-ma šu-ut-ma ṣú-ba-ti-kà li-qé 1 TÚG
5,71112263-5009-4065-b5ff-d4ec32dd83bb,2,6,514,True,They deposited the textile(s) before me.,TÚG i-na ma-aḫ-ri-a i-dí-ú-nim,28,32,37.32354227579087,TÚG a pá-ni-a i-dí-ú-šu-nu
5,71112263-5009-4065-b5ff-d4ec32dd83bb,3,6,514,True,"Please my father, my lord, they must not cheat me!",a-bi a-ta be-lí a-ta lá ú-sà-ni-qú-ni,32,37,89.18518775345302,a-bi a-ta be-lí a-ta lá
5,71112263-5009-4065-b5ff-d4ec32dd83bb,4,6,514,True,"Let a message of yours come here so that they give me the price of the textiles, then I will leave.",TÚG ku-a-tí li-li-kam-ma ší-im TÚG.ḪI.A li-dí-nu-nim-ma a-ta-lá-kam,39,43,88.85059973030735,li-li-kam-ma ší-im TÚG.ḪI.A li-dí-nu-nim-ma
5,71112263-5009-4065-b5ff-d4ec32dd83bb,5,6,514,True,"Now then, as for what you said: 'Leave quickly!' you are <gap>ing me.""""",a-ma a-dí um-ma a-ta-ma um-ma a-ta-ma a-ḫa-ma le-tí-qá-ma ta-aḫ-sí-is-ta-am,44,49,45.109016097284346,a-ma a-ša ta-ta-ú-ni um-ma a-ta-ma
6,a793a223-aa10-411f-8240-a1fc160fcf12,0,3,280,False,"Iddin-abum has bought the houses by the well, where Šalim-Aššur is living, from Tudhiliya the brother of Tuli.",i-dí-a-bu-um É-tí ša bu-ri-im a-šar ša-lim-a-šùr wa-áš-bu iš-tí tù-ud-ḫa-li-a a-ḫu tù-li iš-a-am,0,12,100.0,i-dí-a-bu-um É-tí ša bu-ri-im a-šar ša-lim-a-šùr wa-áš-bu iš-tí tù-ud-ḫa-li-a a-ḫu tù-li iš-a-am
6,a793a223-aa10-411f-8240-a1fc160fcf12,1,3,280,False,"The Kanesh colony gave us for these proceedings, and we gave a tablet with our testimony before the dagger of Aššur.",a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma ṭup-pá-am ší-bu-tí-ni IGI GÍR ša a-šùr ni-dí-in,12,25,100.0,a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma ṭup-pá-am ší-bu-tí-ni IGI GÍR ša a-šùr ni-dí-in
6,a793a223-aa10-411f-8240-a1fc160fcf12,2,3,280,False,"Witnessed by Akuza, by Uraya, by Aššur-bāni.",IGI a-ku-za IGI ú-ra-a IGI a-šur-ba-ni,25,30,91.49950875617115,IGI a-ku-za IGI ú-ra-a IGI
7,0afc88d2-258e-4d6a-8c02-25b605573093,0,2,286,False,Aššur-imittī son of Etaya has received 17 minas of refined silver and 7.5 shekels of -gold from the proceeds of Ušinalam's wool.,17 ma-na KÙ.BABBAR ṣa-ru-pá-am ù 7.5 GÍN KÙ.GI ší-kam a-šùr-i-mì-tí DUMU e-ta-a i-na ší-im SÍG.ḪI.A ša ú-ší-na-lam il₅-qé,0,18,91.6257722741125,17 ma-na KÙ.BABBAR ṣa-ru-pá-am ù 7.5 GÍN KÙ.GI pá-ša-lam a-šùr-i-mì-tí DUMU e-ta-a i-na ší-im SÍG.ḪI.A ša ú-ší-na-lam il₅-qé
7,0afc88d2-258e-4d6a-8c02-25b605573093,1,2,286,False,"Witnessed by Ennam-Wēr son of Šudaya, by Il-ašrannī son of Sukalliya, by Enna-Suen son of Iddin-abum, by Abūbu's younger son.",IGI en-na-we-er DUMU šu-da-a IGI i-lá-áš-ra-ni DUMU sú-kà-li-a IGI en-na-sú-in DUMU i-dí-a-bi-im IGI DUMU a-bu-bu ta-ar-dí-im,20,34,97.09844477331553,DUMU šu-da-a IGI i-lá-áš-ra-ni DUMU sú-kà-li-a IGI en-na-sú-in DUMU i-dí-a-bi-im IGI DUMU a-bu-bu ta-ar-dí-im
8,9a8ef84b-615a-499e-9b11-ddeba04dba43,0,12,1009,True,"Thus Ennam-Aššur and Dadiya, say to Elamma: Of the 65 minas of your silver that arrived here with Ali-ahum's caravan, 10.3333 minas of silver remained.",um-ma en-um-a-šur ù da-dí-a-ma a-na e-lá-ma qí-bi-ma i-na 65 ma-na KÙ.BABBAR-pí-kà ša ILLAT-at a-lá-ḫi-im i-li-kà-ni 10.3333 ma-na KÙ.BABBAR i-ri-ḫa-am,2,21,90.04823870230253,ù da-dí-a-ma a-na e-lá-ma qí-bi-ma i-na 1 GÚ 5 ma-na KÙ.BABBAR-pí-kà ša ILLAT-at a-lá-ḫi-im i-li-kà-ni 10.3333 ma-na KÙ.BABBAR i-ri-ḫa-am
8,9a8ef84b-615a-499e-9b11-ddeba04dba43,1,12,1009,True,We received 5.3333 minas from what you invested with Ali-ahum.,5.3333 ma-na i-na ša iš-tí a-lá-ḫi-im ta-dí-na-ku-ni ni-il₅-qé,25,31,58.892035797002364,iš-tí a-lá-ḫi-im ni-il₅-qé ŠÀ.BA 1.3333 ma-na
8,9a8ef84b-615a-499e-9b11-ddeba04dba43,2,12,1009,True,Thereof: 1.3333?,ŠÀ.BA 1.3333 GÍN KÙ.BABBAR a-na a-šur-DU₁₀ DUMU a-šur-be-el-a-wa-tim a-dí-in,28,34,56.16232539395766,ŠÀ.BA 1.3333 ma-na 8 GÍN KÙ.BABBAR
8,9a8ef84b-615a-499e-9b11-ddeba04dba43,3,12,1009,True,mina 8 shekels Lā-qēp took; 1 mina 29 shekels additional payment for your 65 minas of silver; 48 shekels of silver Aššur-imittī took; 35 shekels of silver Ataya took; 6 shekels the girl took.,ma-na 8 GÍN lá-qé-ep il₅-qé 1.5 ma-na LÁ 1 GÍN té-ṣú-bu ša 1 ma-na 5 ma-na KÙ.BABBAR-pí-kà 0.3333 ma-na 8 GÍN KÙ.BABBAR a-šur-i-mì-tí il₅-qé 0.3333 ma-na 5 GÍN KÙ.BABBAR a-ta-a-a il₅-qé 6 GÍN ṣú-ḫa-ar-tum il₅-qé,29,64,79.37635555330485,1.3333 ma-na 8 GÍN KÙ.BABBAR lá-qé-ep il₅-qé 1.5 ma-na LÁ 1 GÍN té-ṣú-bu ša 1 GÚ 5 ma-na KÙ.BABBAR-pí-kà 0.8333 ma-na LÁ 2 GÍN a-šùr-i-mì-tí il₅-qé 0.5 ma-na 5 GÍN KÙ.BABBAR a-ta-a-a il₅-qé 6 GÍN
8,9a8ef84b-615a-499e-9b11-ddeba04dba43,4,12,1009,True,For the rest?,a-na ší-tí <gap>,67,69,84.44723278791834,a-na ší-tí
8,9a8ef84b-615a-499e-9b11-ddeba04dba43,5,12,1009,True,of your silver we bought 96?,i-na KÙ.BABBAR-pì-kà 96 ni-iš-a-am 1 GÍN KÙ.BABBAR ni-iš-a-am 1 GÍN KÙ.BABBAR ší-im-šu 1 GÍN KÙ.BABBAR ší-im-šu 1 GÍN KÙ.BABBAR ší-im-šu 1 GÍN KÙ.BABBAR ší-im-šu 1 GÍN KÙ.BABBAR ší-im-šu 1 GÍN KÙ.BABBAR ší-im-šu 1 GÍN KÙ.BABBAR ší-im-šu 1 GÍN KÙ.BABBAR ší-im-šu 1 GÍN KÙ.BABBAR ší-im-šu 1 GÍN KÙ.BABBAR ší-im-šu 1 GÍN KÙ.BABBAR ší-im-šu 1 GÍN KÙ.BABBAR ší-im-šu 1 GÍN KÙ.BABBAR ší-im-šu,85,133,30.889830251666023,2 GÍN KÙ.BABBAR it-ba-al 4 ANŠE ṣa-lá-mu 1 ma-na 15 GÍN KÙ.BABBAR it-bu-lu 0.5 ma-na KÙ.BABBAR bé-ú-lá-at a-šùr-lá-ma-sí DUMU en-um-a-a 2 GÍN lu-bu-šu 10 GÍN KÙ.BABBAR ú-nu-ut ANŠE i-na NÍG.KA-sí 15 GÍN KÙ.BABBAR i-té-ra-ma 2 GÍN KÙ.BABBAR ú-ku-ul-tí ANŠE ni-dí-in ša 11 GÍN KÙ.BABBAR 2.5 ma-na AN.NA ni-iš-a-ma-kum
8,9a8ef84b-615a-499e-9b11-ddeba04dba43,6,12,1009,True,textiles for 8?,TÚG a-na 8 ku-ta-ni <gap>,72,74,53.26123480745568,a-na 8
8,9a8ef84b-615a-499e-9b11-ddeba04dba43,7,12,1009,True,"minas (of silver); 16.6666 minas of loose tin at 12.5 : 1 cost 1 mina 28 shekels of silver; 4 black donkeys cost 75 shekels of silver; 0.5 mina the working capital for Aššur-lamassī, son of Ennumāya, 2 shekels his clothing allowance; 10 shekels of silver for donkey harness.",ma-na 16.6666 ma-na AN.NA qá-tim 12.5 GÍN.TA 1.5 ma-na 8 GÍN KÙ.BABBAR it-bu-lu 4 ANŠE ṣa-lá-mu 0.3333 ma-na 5 GÍN KÙ.BABBAR it-bu-lu 0.5 ma-na be-ú-lá-at a-šur-lá-ma-sí DUMU en-um-a-a 2 GÍN be-ú-lá-at-šu 10 GÍN KÙ.BABBAR a-na ú-nu-sú,77,105,73.9072437846631,ma-na AN.NA qá-tim 12.5 GÍN.TA 1.5 ma-na LÁ 2 GÍN KÙ.BABBAR it-ba-al 4 ANŠE ṣa-lá-mu 1 ma-na 15 GÍN KÙ.BABBAR it-bu-lu 0.5 ma-na KÙ.BABBAR bé-ú-lá-at a-šùr-lá-ma-sí DUMU en-um-a-a
8,9a8ef84b-615a-499e-9b11-ddeba04dba43,8,12,1009,True,When at the accounting there was a surplus of 15 shekels of silver we paid 2 shekels of silver for food for the donkeys (and) for 11 shekels of silver we bought for you (an additional) 2.5 minas of tin.,i-nu-mì i-na ni-kà-sí 15 GÍN KÙ.BABBAR 2 GÍN KÙ.BABBAR a-na ú-ku-ul-tim ša ANŠE.ḪI.A ni-iš-qú-ul a-na 11 GÍN KÙ.BABBAR 2.5 ma-na AN.NA ni-dí-na-kum,115,132,65.30110450732501,15 GÍN KÙ.BABBAR i-té-ra-ma 2 GÍN KÙ.BABBAR ú-ku-ul-tí ANŠE ni-dí-in ša 11 GÍN KÙ.BABBAR 2.5 ma-na AN.NA
8,9a8ef84b-615a-499e-9b11-ddeba04dba43,9,12,1009,True,Two textiles from Aššur-lamassī's working capital are packed.,2 TÚG.ḪI.A ša be-ú-lá-at a-šur-lá-ma-sí sà-áp-tum,101,104,41.83260707532624,bé-ú-lá-at a-šùr-lá-ma-sí DUMU
8,9a8ef84b-615a-499e-9b11-ddeba04dba43,10,12,1009,True,With all this Aššur-lamassī is on his way to you.,a-šur-lá-ma-sí na-áš-a-kum,102,103,51.895957561527474,a-šùr-lá-ma-sí
8,9a8ef84b-615a-499e-9b11-ddeba04dba43,11,12,1009,True,"2 minas <gap> shekels of silver that Atāya took he entrusted ?.""""",2 ma-na <gap> GÍN KÙ.BABBAR ša a-ta-a il₅-qé <gap>,58,62,63.10485436169,GÍN KÙ.BABBAR a-ta-a-a il₅-qé
9,842f390f-7848-46b8-b9c1-86cadb3ee753,0,3,267,False,"To Ennam-Aššur from Ali-ahum: My dear brother, send me word there after the matter has been dropped, then I shall act in accordance with your instructions.",a-na en-nam-a-šur qí-bi-ma um-ma a-lá-ḫu-um-ma a-ḫi a-ta a-ma-kam iš-tù a-wa-tum i-ba-tù-qú-ni tí-ir-ta-kà li-li-kam-ma a ma-lá tí-ir-tí-kà le-pu-uš,0,17,95.34418467897027,a-na en-nam-a-šur qí-bi-ma um-ma a-lá-ḫu-um-ma a-ḫi a-ta a-ma-kam iš-tù a-wa-tù-um i-ba-tù-qú-ni tí-ir-ta-kà li-li-kam-ma a ma-lá tí-ir-tí-kà le-pu-uš
9,842f390f-7848-46b8-b9c1-86cadb3ee753,1,3,267,False,Dispatch 3 donkeys and servants in addition to these donkeys.,3 ANŠE.ḪI.A ù ṣú-ḫa-ri a-ṣé-er ANŠE a-ni-ú-tim šé-bi₄-lam,17,24,74.31651042413806,a-ṣé-er ANŠE a-ni-ú-tim 3 ANŠE ù ṣú-ḫa-ri
9,842f390f-7848-46b8-b9c1-86cadb3ee753,2,3,267,False,I shall act in accordance with your instructions.,a ma-lá tí-ir-tí-kà a-da-an,13,16,91.44617765400591,a ma-lá tí-ir-tí-kà
